contact_city,contact_state,contact_county
La Canada,CA,Los Angeles
Commerce,CA,Los Angeles
Vernon,CA,Los Angeles
Rolling Hills Estates,CA,Los Angeles
Rossmoor,CA,Orange
Palos Verdes Estates,CA,Los Angeles
Rolling Hills,CA,Los Angeles
Foster City,CA,San Mateo
Rancho Dominguez,CA,Los Angeles
Bell Canyon,CA,Ventura
Hollywood,CA,Los Angeles
Highlands Ranch,CO,Douglas
Lakewood,NJ,Ocean
Portland,OR,Multnomah
Portola Valley,CA,San Mateo
Fairfax,CA,Marin
Sausalito,CA,Marin
Santa Clara,CA,Santa Clara
